Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.001522583333,-0.2907076286,0.1847304994,-0.7814961594,0.8540330965
0.008484416667,-0.3265815026,0.1442087102,-1.14037896,1.19495431
0.01849041667,-0.3735797775,-0.3037923816,-1.735858233,1.801403749
0.02849641667,-0.3660628529,-0.5782843655,-1.322975811,1.489523352
0.03850341667,-0.2892404525,-0.1001519868,0.3372276378,0.4554261076
0.04850941667,-0.1018530514,0.3908305255,2.298304245,2.333522005
0.05851541667,-0.1638941657,0.7558148959,2.460492559,2.579174497
0.06852141667,-1.208480019,0.8249523738,1.739105777,2.272764677
0.07852841667,-1.793193545,0.6195198074,0.6928821909,2.019760781
0.08853441667,-1.279025214,0.2022815019,-0.530175814,1.399253265
0.09854041667,-0.990980627,-0.2309901613,-0.9660635215,1.403095786
0.1085474167,-1.054468744,-0.4904480767,-0.6185664189,1.317219824
0.1185534167,-0.7334048572,-0.4605416152,-0.5184930772,1.009364322
0.1285594167,-0.09581214678,-0.2712184203,-0.4287704766,0.5163172673
0.1385654167,0.3028623088,-0.0936019358,-0.1431497794,0.3478200107
0.1485724167,0.2023575888,-0.1262966421,0.1008586228,0.2589824267
0.1585784167,-0.279811598,-0.1385480207,0.1955887789,0.3684359576
0.1685844167,-0.5710310042,-0.4121354404,0.04383949935,0.7055876492
0.1785914167,-0.2154399298,-0.6974854115,-0.1436204803,0.7439940221
0.1885974167,0.3115261648,-0.4639072725,-0.08128565311,0.5646820931
0.1986034167,0.6942372832,-0.1725963575,-0.1312337387,0.7273081892
0.2086104167,0.8559934875,-0.1675519645,-0.3419451714,0.9368697944
0.2186164167,0.7795094217,-0.2044247988,-0.815794757,1.146710741
0.2286224167,0.698234586,-0.1323426631,-1.407011994,1.576302277
0.2386284167,0.7967066677,-0.1253575793,-1.859517488,2.026884636
0.2486354167,0.5849848361,-0.2114373645,-2.221182979,2.306635395
0.2586414167,-0.07293275937,-0.1557569611,-2.048550954,2.055757872
0.2686474167,-0.2764248176,0.4552671343,-2.133988715,2.199451449
0.2786544167,-0.62995928,0.975321418,-1.44985162,1.8574634
0.2886604167,-0.4540941098,1.260986846,-0.6768766075,1.50148301
0.2986664167,0.8104226276,1.966766533,0.6436498046,2.222440214
0.3086724167,-0.1327445313,2.220502656,1.10618035,2.484328505
0.3186794167,-3.303920088,1.603779572,0.8229038018,3.763664109
0.3286854167,-2.459709325,2.668616306,0.16016927,3.632813943
0.3386914167,-1.550142916,2.015074475,1.140122268,2.786278339
0.3486984167,-1.730205876,-0.3156940967,1.064055839,2.05559966
0.3587044167,-1.786304209,-0.8918261021,0.5284982479,2.065320053
0.3687104167,-0.5495123735,-1.254686179,-0.5403102082,1.472459296
0.3787164167,0.6256104865,-1.635147252,-0.9645438302,1.998859629
0.3887234167,1.96209607,-1.281489962,-0.2728334212,2.359337955
0.3987294167,2.69862334,-1.214205759,-0.2946920675,2.973837079
0.4087354167,2.80439684,-1.596372611,-0.8255186766,3.330844973
0.4187424167,2.457738521,-1.955838233,-0.657460928,3.209055422
0.4287484167,2.311468667,-2.565290451,-0.8944152492,3.567012915
0.4387544167,2.002734219,-2.832205905,-0.9985933363,3.609643098
0.4487614167,1.246165909,-1.742330955,-0.6970728904,2.252677794
0.4587674167,0.1001541064,0.190243839,0.01309250057,0.2153949324
0.4687734167,-0.3085258488,1.104273281,0.9823556185,1.509844442
0.4787794167,-0.03276443437,0.427447544,1.61970154,1.675475452
0.4887864167,0.9119318993,-0.04315201297,2.104094825,2.293620918
0.4987924167,2.22029508,0.06096891761,1.608336892,2.742293749
0.5087984167,2.661802254,0.3496839613,0.4258293271,2.718234855
0.5188054167,2.220667693,0.3773711121,0.0342775476,2.252764726
0.5288114167,0.8596044356,0.6177057087,-0.09295669556,1.06260109
0.5388174167,-0.6351143315,0.4843649259,-1.183054279,1.427444228
0.5488225417,-2.834129055,-0.8232996583,-4.384222416,5.285027532
0.5588295417,-4.329563521,-1.994656582,-6.33882791,7.931236627
0.5688355417,-4.433018892,-2.46750454,-3.836679202,6.360844476
0.5788415417,-4.393693736,-2.26190182,-2.834672846,5.697026823
0.5888485417,-4.216846452,-2.329329279,-3.128528761,5.744150164
0.5988545417,-3.28699883,-2.735785612,1.155389348,4.429876834
0.6088605417,-2.52840563,-3.252713097,1.191093031,4.288552218
0.6188675417,1.054320225,-1.016034119,-1.297952651,1.956680238
0.6288735417,2.332466311,0.5876916584,-3.871142691,4.557578996
0.6388795417,1.856423727,1.64839792,-4.214799342,4.891631451
0.6488855417,-0.1133915448,1.903692326,-1.773754038,2.604439575
0.6588925417,-0.4237828016,2.067876002,0.6938703704,2.221971897
0.6688985417,-0.4943765286,1.457716417,2.056785588,2.568990513
0.6789045417,-1.057392937,-1.047790932,1.282030683,1.964573321
0.6889115417,-1.021692177,-2.879386211,0.1761812854,3.060352872
0.6989175417,-1.775270221,-3.138889443,-0.2794442832,3.616946281
0.7089235417,-2.663911344,-2.00557962,1.277355834,3.570771792
0.7189295417,-1.540555968,-0.7336227391,3.372454133,3.779545196
0.7289365417,1.167014197,0.1423012388,2.936920767,3.16349101
0.7389425417,3.633744858,0.8638096069,-0.02946119606,3.735122045
0.7489485417,3.461252874,1.039661329,-3.050792953,4.729535365
0.7589555417,1.174122511,1.380997001,-4.261346687,4.630852187
0.7689615417,-0.03584211633,1.408247949,-4.925134887,5.122636099
0.7789675417,0.349267201,0.8486250456,-4.238684049,4.336887652
0.7889735417,1.52445946,0.7099690707,-1.613963082,2.330860261
0.7989805417,2.183890315,0.7686132815,-0.08359764218,2.316707114
0.8089865417,1.587812288,0.8674807812,-0.1727939934,1.817561149
0.8189925417,0.6066588566,0.9925118666,-1.279050357,1.728896929
0.8289995417,-0.09488759235,1.437821558,-2.438449141,2.832378629
0.8390055417,0.02648540184,1.895539991,-2.697372621,3.296906488
0.8490115417,0.9641218805,2.485156407,-1.001005313,2.847375108
0.8590185417,1.719575053,3.250176575,2.277558324,4.325258148
0.8690245417,2.117975238,3.547852769,4.761152063,6.304097663
0.8790305417,1.330623238,2.65824013,5.720890651,6.447122508
0.8890365417,-0.597246155,1.249820419,6.412853075,6.560749851
0.8990435417,-1.778059927,0.9220252899,8.601012735,8.831140799
0.9090495417,-1.912696161,0.7941253413,12.67681616,12.84487095
0.9190555417,-1.198918068,0.3991705553,16.65418931,16.70205865
0.9290625417,-0.307182853,0.5247490132,18.55742058,18.5673795
0.9390685417,0.7524816176,1.010772356,18.71001186,18.75239807
0.9490745417,0.5390341996,1.460221803,17.35617562,17.42583248
0.9590805417,-0.01091510709,1.757266497,15.38803323,15.48804931
0.9690875417,-1.058769445,1.408404362,14.05063936,14.1606872
0.9790935417,-1.327785146,0.7295018408,13.69584902,13.77938557
0.9890995417,-1.081766471,0.3557308593,12.34025277,12.39268338
0.9991065417,-1.721090213,0.4845169535,9.530362174,9.696634022
1.009112542,-1.998795096,0.9769200468,6.582024719,6.947848876
1.019118542,-1.540640898,1.705369389,4.261243776,4.841493328
1.029125542,-1.030871648,3.176367171,3.303775077,4.697545585
1.039131542,-0.8030494349,3.968033393,2.79439547,4.919229965
1.049137542,-0.3786000507,4.139498607,2.496985617,4.849095161
1.059143542,0.1592842209,4.469962185,1.723413604,4.793337861
1.069150542,0.5753844389,3.374700341,0.09056752324,3.424598096
1.079156542,-1.091846559,2.45759731,-0.3121126771,2.707273124
1.089162542,-1.873965374,1.739401938,-0.1125325888,2.559282889
1.099169542,0.004058296569,0.5146555495,-0.05958429694,0.5181091515
1.109175542,1.834588762,0.04412747473,0.07404738486,1.83661269
1.119181542,2.50420225,-0.4173239672,-0.3683231306,2.56531677
1.129187542,2.540172567,-1.379081599,-2.556949398,3.859058557
1.139194542,2.019582532,-2.426307397,-4.831912143,5.771746369
1.149200542,0.9834383035,-3.70341034,-6.038203257,7.151384315
1.159206542,0.8311908413,-5.003739592,-6.73108194,8.428271009
1.169213542,1.262487096,-5.331628057,-6.323667834,8.3671325
1.179219542,1.571883595,-5.071913449,-5.777596364,7.847021334
1.189225542,2.919427652,-5.362819444,-6.030707712,8.582093317
1.199232542,3.115952277,-4.949466906,-6.983707969,9.109256733
1.209238542,3.098663523,-4.204647114,-8.133143681,9.665857392
1.219244542,3.297496921,-4.06759101,-9.560035039,10.90014002
1.229250542,2.377931921,-3.403974134,-10.70603668,11.48306673
1.239257542,1.517520277,-2.780358059,-12.21857221,12.62247066
1.249263542,1.278127082,-2.551762333,-13.24620282,13.55016564
1.259269542,1.224682581,-2.396755862,-13.4067697,13.67427365
1.269276542,1.520734053,-2.337264536,-13.03987913,13.3346873
1.279282542,1.709244923,-2.400590174,-12.15799856,12.51004718
1.289288542,1.580979524,-2.59370675,-11.26053048,11.66303381
1.299294542,1.270075466,-2.669194011,-10.2294313,10.64795535
1.309301542,1.258653515,-2.970268607,-9.545723979,10.07608806
1.319307542,1.272983286,-3.206682061,-9.2697354,9.890970158
1.329313542,0.9628684567,-3.255460411,-9.170463712,9.77867797
1.339320542,0.6383694034,-3.312998475,-9.151723385,9.753846181
1.349326542,0.5282774424,-3.225314214,-9.217456614,9.779735951
1.359332542,0.3544889107,-3.165953573,-9.139906163,9.67919465
1.369339542,0.08268993504,-3.290828464,-8.603239354,9.211520884
1.379345542,-0.006043243557,-3.534927498,-7.86402675,8.621987339
1.389351542,-0.05481209189,-3.693017206,-7.157397755,8.054174264
1.399357542,-0.08695197053,-3.65451066,-7.087766773,7.974926121
1.409364542,0.2346067373,-3.497483976,-7.513335899,8.290817258
1.419370542,0.54431884,-3.162187381,-7.454300655,8.115559764
1.429376542,1.076414368,-2.857480203,-7.563654698,8.156759981
1.439383542,1.383080071,-2.741357716,-7.702382228,8.291842051
1.449389542,0.8909692658,-2.61405506,-7.046026424,7.567932244
1.459395542,0.2974349233,-2.576486115,-6.022240359,6.55699071
1.469401542,-0.2291770128,-2.263023316,-4.952982836,5.45030601
1.479408542,-0.655899429,-1.27674597,-2.860912226,3.200797259
1.489414542,-0.488378674,0.5521812254,-1.087115504,1.313483138
1.499420542,-0.5260941651,4.164350443,-0.0299231261,4.197557036
1.509427542,-0.8766922655,8.903097437,1.866427143,9.138779108
1.519433542,-1.903272788,12.30005082,5.665687088,13.67529552
1.529439542,-3.148279486,13.40486234,13.72330521,19.4404502
1.539446542,-2.596123404,10.68323137,28.17869585,30.24748236
1.549452667,-0.4661132077,7.035877411,41.91067131,42.49970826
1.559458667,-1.107074536,5.690228437,45.71354133,46.07962863
1.569464667,-3.514720691,6.342541476,39.71688955,40.37341216
1.579471667,-5.15304532,7.519773098,30.833575,32.15291917
1.589477667,-5.444806763,8.472264647,23.09617906,25.19640205
1.599483667,-4.684488634,9.028155347,17.71101273,20.4238095
1.609490667,-3.19701369,9.077218164,14.13269684,17.09824278
1.619496667,-1.877409237,8.877550952,10.72795205,14.05078402
1.629502667,-0.9711682869,8.667004995,8.291312619,12.03353682
1.639508667,0.09680504054,7.919073608,8.162298483,11.3729598
1.649515667,0.3529885152,6.677216805,8.641180183,10.92610727
1.659521667,-0.1441497995,5.272881081,7.685374432,9.321428765
1.669527667,-0.598268833,4.189325362,5.661736709,7.068495961
1.679534667,-0.8192248799,3.45649324,3.167957121,4.759666716
1.689540667,-0.4558623809,2.902606966,0.8667012012,3.063349259
1.699546667,0.2667030542,2.200566282,-0.9454754752,2.409885133
1.709553667,1.010168192,1.400846105,-2.411732628,2.966355315
1.719559667,1.447847194,0.1375539941,-3.617927263,3.899305102
1.729565667,1.656114052,-1.423260822,-4.527870378,5.026927021
1.739571667,1.654984516,-2.868664464,-4.89895164,5.913369321
1.749578667,1.528266144,-4.37748847,-5.257867185,7.010218973
1.759584667,1.435380199,-5.573833178,-5.468206735,7.93909425
1.769590667,1.580883045,-6.290904715,-5.713464103,8.643977406
1.779597667,2.029403077,-6.656816454,-5.929253258,9.142632353
1.789603667,2.37933496,-6.589207438,-6.740418189,9.721734767
1.799609667,2.447431633,-6.448309422,-8.761524067,11.15055694
1.809615667,2.366551923,-6.105067338,-11.20191331,12.97517927
1.819622667,2.464258751,-5.491378666,-13.21053597,14.51709584
1.829628667,3.051191733,-4.83547953,-14.39962458,15.49325083
1.839634667,3.881269776,-4.267361718,-14.64481119,15.73992141
1.849641667,4.593408895,-4.140619226,-14.21128927,15.4985443
1.859647667,4.453169274,-4.512981613,-13.4924127,14.90781406
1.869653667,3.497597412,-4.762392257,-12.7858679,14.085169
1.879660667,2.681425509,-4.976223764,-11.91620684,13.18896627
1.889666667,2.157145004,-5.013376388,-10.85047928,12.14578602
1.899672667,0.9586445743,-5.287490349,-9.791967187,11.16956467
1.909678667,-0.2236978063,-5.698561889,-8.819526107,10.50274674
1.919685667,-0.8022357948,-5.906254989,-8.055415474,10.02083573
1.929691667,-0.9778674419,-5.601582309,-7.208605916,9.181391417
1.939697667,0.2820460019,-5.611425512,-5.994859017,8.216202338
1.949704667,1.064099255,-6.111958866,-3.560511113,7.153012498
1.959710667,0.2274949881,-5.25396183,-2.908232573,6.009466331
1.969716667,0.6781065693,-4.614079679,-3.89030694,6.073223847
1.979722667,1.036662365,-4.291193799,-5.349100707,6.935552714
1.989729667,0.5301810765,-3.910561695,-6.993188059,8.029835862
1.999735667,0.1070835686,-3.748526286,-7.521561761,8.404570634
2.009741667,-0.09266967036,-3.900909696,-7.184107836,8.175395375
2.019748667,0.07937609866,-3.823301357,-6.040190726,7.1489746
2.029754667,0.832350271,-3.442710183,-4.664270132,5.856660844
2.039760667,1.446586242,-3.243897542,-3.602321629,5.058873801
2.049767667,1.550240126,-3.185108466,-2.862884492,4.554587578
2.059773667,0.8599259593,-3.25060576,-2.108880186,3.969040955
2.069779667,0.4257845959,-2.755495114,-1.622395352,3.225866166
2.079785667,0.3923372068,-1.57324892,-1.397857593,2.140805105
2.089792667,0.5671830612,0.09845483243,-1.553070179,1.656326344
2.099798667,0.8405010704,2.419856749,-1.432558479,2.935025133
2.109804667,0.4723318677,4.701516311,0.6506992078,4.769775935
2.119811667,0.04262379013,6.19619327,5.396231604,8.216686884
2.129817667,-0.7470100124,6.438780799,11.33455857,13.05711071
2.139823667,-2.768938447,6.267620518,16.47811327,17.84596044
2.149829667,-3.724603865,6.245972371,20.25793123,21.52367586
2.159836667,-3.790208455,6.953365597,21.81720823,23.21003119
2.169842667,-2.99363028,8.290149023,22.55080692,24.21213096
2.179848667,-1.339140146,9.134589289,22.87919824,24.6716787
2.189855667,-0.09006144673,9.604461014,22.3705396,24.34532449
2.199861667,0.3950250256,9.666954886,20.37805643,22.55817469
2.209867667,-0.004801075682,9.310434945,17.58624484,19.89874945
2.219874667,-0.8124218637,8.863056874,14.70280972,17.18680948
2.229880667,-1.375448724,8.620507352,12.03792248,14.86998937
2.239886667,-1.573903516,8.754358889,9.463188776,12.98722117
2.249892667,-1.922960948,8.769871552,7.020009822,11.39688395
2.259899667,-2.609044581,7.870573878,5.316370332,9.849712701
2.269905667,-3.676841176,5.907025652,4.516055494,8.294990676
2.279911667,-4.317757115,4.310450435,4.213388994,7.414557051
2.289918667,-3.829454967,2.943608227,3.95354867,6.241802771
2.299924667,-2.346361341,1.593028296,3.394529711,4.423345188
2.309930667,-0.3259175878,0.4034485245,1.885486727,1.955518649
2.319936667,1.161063413,-0.7133334124,-0.4799131483,1.444724692
2.329943667,1.723672928,-1.735861741,-2.940134397,3.824742425
2.339949667,2.23273123,-2.635211456,-5.026915031,6.099123125
2.349955667,2.540643852,-3.548996192,-6.309633347,7.672139084
2.359962667,2.521127601,-4.653242868,-7.075861257,8.836094504
2.369968667,2.234581289,-5.592681093,-7.499382688,9.618325012
2.379974667,1.379831797,-6.427344815,-7.414064795,9.908736243
2.389981667,0.238867987,-7.199441575,-7.283412854,10.24388206
2.399987667,-0.5515942381,-7.446202846,-7.929852365,10.8918663
2.409993667,-0.8890304752,-7.286196129,-9.080689071,11.676384
2.419999667,-1.111733305,-6.851321744,-10.06828555,12.2289384
2.430006667,-0.9605434576,-6.128378432,-10.69988775,12.36799352
2.440012667,-0.4621843904,-5.401843761,-10.97942676,12.24505379
2.450018667,-0.3146072455,-5.301893211,-10.93159069,12.15354781
2.460025667,-0.4151952884,-5.464413646,-10.22251171,11.59879085
2.470031667,-0.5647101275,-5.698897519,-8.6010332,10.3331555
2.480037667,-0.8562063262,-5.901301813,-6.515506793,8.832342901
2.490043667,-0.8349701891,-6.071710727,-4.639734045,7.68700061
2.500050667,-0.6136750768,-6.293250033,-3.611388906,7.281739003
2.510056667,-0.579140069,-6.300137469,-3.335625445,7.152169772
2.520062667,-0.7876971316,-6.103059989,-3.694662613,7.177627729
2.530069667,-0.9607694525,-5.868669087,-4.334311752,7.35871002
2.540075667,-0.9659175604,-5.706829852,-5.102180976,7.715773092
2.550081917,-0.8873336864,-5.581247447,-5.813895879,8.107963334
2.560087917,-0.5975813832,-5.373911027,-6.204084088,8.229622264
2.570094917,-0.2438814446,-5.146480066,-6.512756848,8.304320381
2.580100917,-0.3759572554,-4.925581614,-7.059429996,8.616162137
2.590106917,-0.396045584,-4.628460029,-7.582132484,8.892031677
2.600113917,-0.4074063586,-4.43730227,-7.618030879,8.82553261
2.610119917,-0.2911389704,-3.996828591,-7.336391551,8.359547935
2.620125917,0.02160133224,-2.878010654,-6.889146212,7.46617355
2.630132917,0.5560010652,-0.9462765437,-6.480291352,6.572575788
2.640138917,0.5415225918,1.905611089,-6.098126693,6.41184447
2.650144917,-0.5042169905,5.605226879,-4.999507377,7.527806928
2.660150917,-2.815569992,9.312864463,-2.285007677,9.993905091
2.670157917,-4.833135965,11.6828737,3.273957201,13.06015072
2.680163917,-4.348776887,12.21458908,10.58514082,16.73777922
2.690169917,-0.3981226612,12.21564041,19.29697408,22.84192595
2.700176917,6.330497966,11.31668246,29.18758613,31.93834202
2.710182917,10.17129244,10.07776973,33.78538512,36.69426222
2.720188917,9.664533554,8.216620286,31.93305503,34.36038505
2.730195917,5.514476337,5.640082716,25.73828789,26.91987084
2.740201917,0.2491212807,4.410053076,18.42083547,18.94301478
2.750207917,-3.892726518,4.064675004,12.14915056,13.38942724
2.760213917,-6.545369693,3.679563348,8.299305178,11.19193984
2.770220917,-7.99381038,3.650648282,5.324395051,10.27508734
2.780226917,-8.706635669,3.907797132,3.181913255,10.05986854
2.790232917,-7.548239098,3.842129391,2.09364702,8.72474811
2.800239917,-5.432872011,3.754149846,1.964453375,6.88976171
2.810245917,-3.145238642,4.170721861,2.500394543,5.791322805
2.820251917,0.006377704293,4.720213952,3.447280952,5.845015517
2.830257917,3.336112518,4.881012967,4.297323436,7.30896183
2.840264917,5.270473782,4.408719326,4.449335255,8.186042035
2.850270917,4.825905883,3.474393906,3.96055305,7.144701608
2.860276917,2.901957926,1.939025588,2.85655605,4.510110032
2.870283917,1.102651702,0.3816471809,1.096504962,1.60119283
2.880289917,0.2143608993,-0.8128331423,-0.8484801078,1.194389721
2.890295917,0.5129079995,-1.990636622,-2.456722859,3.20331016
2.900302917,1.213754062,-3.13824508,-3.939706557,5.18102971
2.910308917,1.891253836,-4.210872937,-5.281799254,7.014677136
2.920314917,2.348773464,-5.262135653,-6.42001533,8.626900095
2.930320917,2.58814137,-6.303523591,-7.255511695,9.953659396
2.940327917,2.483887854,-7.279270687,-7.720517952,10.89788411
2.950333917,2.070180243,-8.146824412,-7.844630367,11.49759191
2.960339917,1.658342426,-8.699648246,-7.960486513,11.90812012
2.970346917,1.419255333,-8.951279079,-8.332844222,12.31161954
2.980352917,1.459338727,-8.673840975,-8.928046921,12.53296488
2.990358917,1.433044675,-8.294280081,-9.521856229,12.70883335
3.000364917,1.346079183,-8.076491178,-10.10556389,13.00630848
3.010371917,1.234916158,-7.823652896,-10.72744451,13.33464016
3.020377917,0.9826039059,-7.842086243,-11.0990491,13.62544377
3.030383917,0.6239736316,-8.160920295,-10.76640918,13.52425709
3.040390917,0.2096581299,-8.26141639,-9.740228684,12.77368436
3.050396917,-0.2250630581,-8.054996814,-8.376926966,11.62353356
3.060402917,-0.4161182714,-7.760795327,-7.043957679,10.48906279
3.070409917,-0.07869394787,-7.480512553,-5.896563229,9.525424857
3.080415917,0.4820104714,-7.121790551,-4.972355831,8.699227394
3.090421917,0.8297049907,-6.843652536,-4.33253186,8.14216327
3.100427917,0.8172510792,-6.689544489,-3.82098469,7.747117451
3.110434917,0.6860884573,-6.557822508,-3.740620558,7.580764841
3.120440917,0.5311346843,-6.504702893,-3.859230158,7.582013004
3.130446917,0.4912472449,-6.269617342,-4.047629786,7.478818914
3.140453917,0.6730162758,-5.754602188,-4.660456578,7.435607088
3.150459917,0.7035483894,-5.023425997,-5.529525316,7.503695044
3.160465917,0.3915910289,-4.414885215,-6.364530516,7.755759387
3.170471917,0.1091903935,-3.69494211,-6.971667967,7.891050245
3.180478917,-0.07842132144,-2.712284775,-7.208644508,7.702414832
3.190484917,-0.4264308594,-1.214095978,-6.841635246,6.961597889
3.200490917,-1.537278603,0.7361387229,-5.226884544,5.497767525
3.210497917,-2.844350865,3.250415726,-3.593941399,5.618892152
3.220503917,-3.149711469,6.084983906,-2.821114907,7.409885343
3.230509917,-3.110255335,8.926672241,-1.029577732,9.508900875
3.240515917,-2.079326604,10.77106357,3.085028985,11.39547337
3.250522917,-1.060335183,11.02094901,9.858740051,14.82499184
