"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.189783333E-2,-3.127855454E-1,2.373657314E0,-2.979902480E0,3.822551848E0
3.190383335E-2,-8.083202612E-1,2.140841067E0,-2.059973490E0,3.078972701E0
4.191083333E-2,-7.816926259E-1,1.865726062E0,-7.146279860E-1,2.145383476E0
5.191783333E-2,-3.319259673E-1,1.751269739E0,5.512719834E-1,1.865749540E0
6.192483334E-2,3.799537542E-1,1.809952396E0,1.491573842E0,2.375938774E0
7.193083334E-2,1.101097950E0,1.940006458E0,2.161899814E0,3.106421182E0
8.193783334E-2,1.554666176E0,2.022144928E0,2.432344063E0,3.524536093E0
9.194483334E-2,1.616653533E0,1.817938815E0,2.186194995E0,3.270767301E0
1.019518333E-1,1.112919632E0,1.521876160E0,2.063222203E0,2.794920931E0
1.119578333E-1,2.987625336E-1,1.372476000E0,2.036119773E0,2.473607316E0
1.219648333E-1,-3.671889170E-1,1.518575115E0,1.829387371E0,2.405734032E0
1.319718334E-1,-5.241808100E-1,1.694731257E0,1.816888947E0,2.539284348E0
1.419778334E-1,-2.030434672E-1,1.541963100E0,2.297100888E0,2.774085317E0
1.519848334E-1,-4.368034545E-2,1.442916237E0,3.044118941E0,3.369061496E0
1.619918333E-1,-7.681472585E-2,1.631026427E0,3.995765567E0,4.316513660E0
1.719988333E-1,-1.449357384E-1,1.598030589E0,4.945242292E0,5.199050823E0
1.820048333E-1,-2.339286795E-1,8.996531850E-1,5.737878567E0,5.812688615E0
1.920118333E-1,-4.008387294E-1,-1.987152851E-1,5.720479007E0,5.737947327E0
2.020188333E-1,-5.666988021E-1,-1.045846440E0,5.358945664E0,5.489375277E0
2.120258333E-1,-8.058720320E-1,-1.379791451E0,4.386181818E0,4.668173638E0
2.220318333E-1,-9.696443564E-1,-1.350601566E0,2.818438051E0,3.272297025E0
2.320388333E-1,-8.382449953E-1,-1.058231720E0,1.171188524E0,1.787230149E0
2.420457917E-1,-6.589394695E-1,-1.196119590E0,-1.441566700E-1,1.373202259E0
2.520517917E-1,-7.610213298E-1,-2.139090118E0,-6.632251132E-1,2.365317642E0
2.620587917E-1,-1.295258108E0,-1.932101608E0,-2.396112961E-1,2.338401968E0
2.720657917E-1,-7.266049109E-1,-1.220312153E0,-3.690370756E-1,1.467414328E0
2.820727917E-1,-2.149656475E-1,-8.772723824E-1,-7.351289088E-1,1.164573559E0
2.920787917E-1,1.837092832E-1,-6.030835766E-1,-9.853873998E-1,1.169806492E0
3.020857917E-1,5.710000505E-1,-2.609428158E-1,-1.242898192E0,1.392453995E0
3.120927917E-1,6.456284293E-1,-1.258434829E-1,-1.741691415E0,1.861763045E0
3.220987917E-1,4.337997399E-1,-9.311106205E-2,-2.280665535E0,2.323421435E0
3.321057917E-1,2.021213613E-1,-2.237568632E-1,-2.791110504E0,2.807350713E0
3.421127917E-1,1.156871617E-2,-5.886506018E-1,-3.271325954E0,3.323885807E0
3.521197917E-1,-2.821742751E-1,-9.421332067E-1,-3.571485752E0,3.704422732E0
3.621257917E-1,-6.068537881E-1,-1.176869971E0,-3.735233518E0,3.962986738E0
3.721327917E-1,-1.156249181E0,-1.313685170E0,-3.514944347E0,3.926514313E0
3.821397917E-1,-1.783405159E0,-1.251839462E0,-3.036802320E0,3.737620143E0
3.921467917E-1,-2.209137130E0,-1.024875986E0,-2.607657037E0,3.567987229E0
4.021527917E-1,-2.188127207E0,-7.536862171E-1,-2.123338012E0,3.140781416E0
4.121597917E-1,-1.633299825E0,-6.177203268E-1,-1.853963218E0,2.546846351E0
4.221667917E-1,-1.163216723E0,-7.600652370E-1,-1.840918665E0,2.306459156E0
4.321727917E-1,-9.223455711E-1,-1.028327597E0,-2.065223120E0,2.484617784E0
4.421797917E-1,-6.505984895E-1,-1.375884049E0,-2.897760209E0,3.273125348E0
4.521867917E-1,-2.273110201E-1,-1.537246151E0,-3.710897407E0,4.023127589E0
4.621937917E-1,2.744213423E-1,-1.497048005E0,-3.962355747E0,4.244611038E0
4.721997917E-1,8.352913474E-1,-1.234619997E0,-3.329443184E0,3.647902149E0
4.822067917E-1,1.576230707E0,-5.860778269E-1,-2.137604633E0,2.719805881E0
4.922137917E-1,2.263875547E0,1.894284448E-1,-1.071019288E0,2.511592711E0
5.022207917E-1,2.574548348E0,7.691535643E-1,-3.796889484E-1,2.713680176E0
5.122267917E-1,2.401916614E0,1.031077835E0,-2.686854064E-1,2.627644720E0
5.222337917E-1,2.063492052E0,1.125100186E0,-5.961651510E-1,2.424719110E0
5.322407917E-1,1.659146272E0,7.140265998E-1,-6.780559909E-1,1.929341925E0
5.422467917E-1,1.575882944E0,-7.847694308E-2,-1.260618764E-1,1.582863633E0
5.522537917E-1,1.898519586E0,-5.953892255E-1,5.033160442E-1,2.052362539E0
5.622607917E-1,1.984870829E0,-2.644841820E-1,1.077876318E0,2.274089146E0
5.722677917E-1,1.377128775E0,6.509170166E-1,5.878410548E-1,1.632707485E0
5.822737917E-1,5.761787832E-2,1.513516688E0,-6.299211270E-1,1.640382032E0
5.922807917E-1,-9.586255708E-1,1.622268468E0,-2.490998653E0,3.123426364E0
6.022877917E-1,-1.384498606E0,1.288046883E0,-3.374770215E0,3.868459017E0
6.122937917E-1,-1.302918984E0,1.190429665E0,-2.048205383E0,2.703676378E0
6.223007917E-1,-8.246993355E-1,1.408635474E0,1.046703057E0,1.939064254E0
6.323077917E-1,-2.543456948E-1,1.887171310E0,2.879311659E0,3.452034606E0
6.423147917E-1,-6.587008300E-1,2.173027650E0,3.504305338E0,4.175654661E0
6.523207917E-1,-1.461574118E0,2.024370671E0,4.223335108E0,4.906203720E0
6.623277917E-1,-1.530549920E0,1.221268757E0,3.717108319E0,4.201306308E0
6.723347917E-1,-1.226772303E0,5.389185709E-1,2.525297835E0,2.858764185E0
6.823417917E-1,-7.265134750E-1,5.799125227E-1,1.058246046E0,1.408547144E0
6.923477917E-1,-3.713698954E-1,1.232058916E0,-5.143210888E-3,1.286822142E0
7.023547917E-1,-1.926808123E-1,2.000407611E0,5.237128866E-1,2.076783979E0
7.123617917E-1,-6.346100823E-1,2.310859387E0,1.893827780E0,3.054404152E0
7.223677917E-1,-1.437662806E0,2.200635571E0,2.904797918E0,3.917591378E0
7.323747917E-1,-1.763418792E0,1.457222912E0,3.763034105E0,4.403813135E0
7.423817917E-1,-1.536864036E0,7.105059913E-1,4.051410010E0,4.390978581E0
7.523887917E-1,-9.189665383E-1,-1.351271072E-1,4.194935181E0,4.296538142E0
7.623947917E-1,2.330708564E-1,-1.051349840E0,4.228096495E0,4.363079014E0
7.724017917E-1,1.127158991E0,-1.317632625E0,4.328403726E0,4.662801941E0
7.824087917E-1,1.592150629E0,-1.092646092E0,4.160251837E0,4.586558018E0
7.924157917E-1,1.718519631E0,-9.448433912E-1,3.223396327E0,3.773105171E0
8.024217917E-1,1.312939065E0,-1.123815553E0,1.737998899E0,2.451001950E0
8.124287917E-1,7.237544663E-1,-1.640428750E0,7.267036557E-2,1.794465935E0
8.224357917E-1,2.536379076E-1,-1.788319159E0,-1.221247122E0,2.180335327E0
8.324417917E-1,2.291147217E-1,-1.158091931E0,-1.639058163E0,2.019946073E0
8.424487917E-1,1.012715312E0,-2.935287639E-1,-1.085139729E0,1.513036573E0
8.524557917E-1,1.662232140E0,-2.100799334E-1,-9.517565542E-1,1.926911987E0
8.624627917E-1,1.250597221E0,-7.877316302E-1,-1.390290127E0,2.029142964E0
8.724687917E-1,4.219853675E-1,-1.650880940E0,-1.769752203E0,2.456725949E0
8.824757917E-1,-2.696666606E-1,-2.250917825E0,-1.788084978E0,2.887316930E0
8.924827917E-1,-4.258093735E-1,-1.973508373E0,-1.349841428E0,2.428604702E0
9.024887917E-1,-8.913800692E-2,-1.263310822E0,-9.845202577E-1,1.604113449E0
9.124957917E-1,3.775773726E-1,-6.099069849E-1,-9.726077253E-1,1.208518510E0
9.225027917E-1,7.424033567E-1,-8.492846847E-2,-1.009068038E0,1.255624902E0
