"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.249249995E-3,-2.582280121E0,-8.842262421E0,1.353335724E0,9.310493699E0
1.129025000E-2,-2.505938873E0,-8.976383514E0,1.426383820E0,9.428136689E0
2.133125000E-2,-2.479743347E0,-9.136550446E0,1.409468994E0,9.571430612E0
3.137225000E-2,-2.296524353E0,-9.280251617E0,1.310524750E0,9.649589074E0
4.141325000E-2,-2.003733215E0,-9.392218781E0,1.269510040E0,9.687124246E0
5.145424999E-2,-1.850901031E0,-9.391919403E0,1.300944672E0,9.660561150E0
6.149524999E-2,-1.934726715E0,-9.191186829E0,1.402433624E0,9.496731167E0
7.153624999E-2,-1.925146637E0,-8.968450012E0,1.552721100E0,9.303237501E0
8.157724999E-2,-1.701062622E0,-8.984616394E0,1.663790131E0,9.294360838E0
9.161824999E-2,-1.454974365E0,-9.218280487E0,1.689835968E0,9.484154740E0
1.016592500E-1,-1.292562103E0,-9.547745361E0,1.619332581E0,9.769974221E0
1.117002500E-1,-1.270707550E0,-9.903256073E0,1.432221680E0,1.008664649E1
1.217412500E-1,-1.362017670E0,-1.019679565E1,1.124311981E0,1.034861397E1
1.317822500E-1,-1.298699341E0,-1.038435562E1,7.762857056E-1,1.049400215E1
1.418232500E-1,-1.026415558E0,-1.038255936E1,4.352947998E-1,1.044224829E1
1.518642500E-1,-7.442523193E-1,-1.032582733E1,2.028282166E-1,1.035460095E1
1.619052500E-1,-5.773493958E-1,-1.036040543E1,7.050338745E-2,1.037671931E1
1.719462500E-1,-5.953120422E-1,-1.035651352E1,1.525328064E-1,1.037473060E1
1.819872500E-1,-8.117619324E-1,-1.010862900E1,5.254074097E-1,1.015477181E1
1.920282500E-1,-1.027912445E0,-9.723030853E0,1.090632019E0,9.837856025E0
2.020692500E-1,-1.084644470E0,-9.439520416E0,1.609153748E0,9.636927679E0
2.121102500E-1,-1.072070618E0,-9.343719635E0,1.950444031E0,9.605137372E0
2.221512500E-1,-1.054257660E0,-9.378896484E0,2.041903839E0,9.656320716E0
2.321922500E-1,-9.523196411E-1,-9.432634735E0,1.975442047E0,9.684207868E0
2.422332500E-1,-9.132508850E-1,-9.398954773E0,1.854194183E0,9.623534386E0
2.522742500E-1,-9.532177734E-1,-9.253607025E0,1.728305969E0,9.461760334E0
2.623152500E-1,-9.740245056E-1,-9.153016205E0,1.585652618E0,9.340274279E0
2.723562500E-1,-9.711804199E-1,-9.250613251E0,1.480720825E0,9.418575852E0
2.823972500E-1,-1.060544586E0,-9.384884033E0,1.401535492E0,9.548041939E0
2.924382500E-1,-1.166823578E0,-9.473050690E0,1.310524750E0,9.634191287E0
3.024792500E-1,-1.320553894E0,-9.417216797E0,1.112486572E0,9.574208122E0
3.125202500E-1,-1.639540558E0,-9.205556946E0,5.640270996E-1,9.367416853E0
3.225612500E-1,-2.167492676E0,-8.815468140E0,-2.320175171E-1,9.080987565E0
3.326022500E-1,-2.699486389E0,-8.265362091E0,-7.807763672E-1,8.730008534E0
3.426432500E-1,-2.984493713E0,-7.737260284E0,-7.970924377E-1,8.331131723E0
3.526842500E-1,-3.050356750E0,-7.149432678E0,-5.748046875E-1,7.794194272E0
3.627252500E-1,-2.930456085E0,-6.446195068E0,-5.216651917E-1,7.100221004E0
3.727662500E-1,-2.878214722E0,-5.839656372E0,-7.402107239E-1,6.552375023E0
3.828072500E-1,-2.728675690E0,-5.462590485E0,-1.196461945E0,6.222305602E0
3.928482500E-1,-2.276316376E0,-5.388494568E0,-1.573677521E0,6.057553210E0
4.028892500E-1,-1.504521332E0,-5.452561340E0,-1.464255066E0,5.842777807E0
4.129302500E-1,-8.222401428E-1,-5.233417053E0,-7.027885437E-1,5.344028877E0
4.229712500E-1,-5.128335571E-1,-4.635260925E0,-9.550140381E-2,4.664521693E0
4.330122500E-1,-3.778143311E-1,-4.181853790E0,-1.400936737E0,4.426428417E0
4.430532500E-1,-5.701643372E-1,-3.988306274E0,-7.656578064E0,8.651870431E0
4.530942500E-1,-1.412013702E0,-4.084556122E0,-1.030442184E1,1.117400962E1
4.631352500E-1,-2.347268829E0,-4.623884583E0,-4.475692749E0,6.849949283E0
4.731762500E-1,-2.856360168E0,-5.653742981E0,-2.005828857E-1,6.337494505E0
4.832172500E-1,-2.868185577E0,-6.703210602E0,8.303233337E-1,7.338184906E0
4.932582500E-1,-3.485501862E0,-7.608827362E0,-7.649093628E-1,8.404050415E0
5.032992500E-1,-5.476511536E0,-9.045090637E0,-7.069349213E0,1.271933731E1
5.133402500E-1,-6.616540833E0,-1.144385239E1,-1.008737320E1,1.662815288E1
5.233812500E-1,-4.785997467E0,-1.297471893E1,-3.859274597E0,1.435768448E1
5.334222500E-1,-4.252506866E0,-1.552107376E1,-6.339317322E-1,1.610557092E1
5.434632500E-1,-5.015470276E0,-1.971580078E1,8.158035278E-2,2.034390321E1
5.535042500E-1,-7.210355988E0,-2.378014893E1,-1.962419128E-1,2.485001463E1
5.635452500E-1,-9.665400696E0,-2.694756226E1,-4.851411438E-1,2.863261155E1
5.735862500E-1,-1.063343765E1,-2.893827255E1,-2.909948730E-1,3.083144973E1
5.836272500E-1,-1.106678650E1,-3.043306412E1,-6.286926270E-3,3.238279164E1
5.936682500E-1,-1.193423264E1,-3.109483795E1,-5.959107971E-1,3.331170914E1
6.037092500E-1,-1.239512421E1,-2.960558487E1,-1.272054749E0,3.212083254E1
6.137502500E-1,-1.057835220E1,-2.443907867E1,-9.885443115E-1,2.664858949E1
6.237871667E-1,-8.172405396E0,-1.947779572E1,-9.813592529E-1,2.114558587E1
6.338281667E-1,-6.416257324E0,-1.672891205E1,-2.079176331E0,1.803740088E1
6.438691667E-1,-5.237608337E0,-1.536240372E1,-3.782633972E0,1.666566257E1
6.539101667E-1,-4.286785583E0,-1.446621735E1,-5.958060150E0,1.622178953E1
6.639511667E-1,-3.336860962E0,-1.342902420E1,-7.997269592E0,1.598216672E1
6.739921667E-1,-2.841540985E0,-1.186043610E1,-7.729476471E0,1.443915185E1
6.840331667E-1,-2.859952698E0,-1.006581802E1,-5.179229736E0,1.167580586E1
6.940741667E-1,-2.881058807E0,-8.385412445E0,-2.703677673E0,9.269601647E0
7.041151667E-1,-2.957400055E0,-6.794371033E0,-7.837701416E-1,7.451442038E0
7.141561667E-1,-2.839595032E0,-4.944817200E0,3.686833191E-1,5.714056744E0
7.241971667E-1,-2.572849731E0,-2.856509857E0,8.532257080E-1,3.937918030E0
7.342381667E-1,-2.408192139E0,-9.397457886E-1,1.009949799E0,2.775339640E0
7.442791667E-1,-2.281555481E0,6.596781921E-1,9.627978516E-1,2.562742756E0
7.543201667E-1,-1.854792938E0,1.409468994E0,7.502398682E-1,2.447390355E0
7.643611667E-1,-1.357227631E0,1.424886932E0,5.343887329E-1,2.039102972E0
7.744021667E-1,-1.227896576E0,1.478475494E0,4.535568237E-1,1.974673031E0
7.844431667E-1,-1.174008636E0,1.586251373E0,4.302053833E-1,2.019793645E0
7.944841667E-1,-1.135388947E0,1.745520172E0,4.740641785E-1,2.135576170E0
8.045251667E-1,-9.915380859E-1,2.070195007E0,1.683998108E-1,2.301567648E0
8.145661667E-1,-6.948550415E-1,2.927162933E0,-2.917433167E-1,3.022618158E0
8.246071667E-1,-4.589456177E-1,2.874622192E0,9.235794067E-2,2.912492716E0
8.346481667E-1,-3.370989990E-1,2.756817169E0,3.763174438E-1,2.802729287E0
8.446891667E-1,-1.797761536E-1,2.866239624E0,5.264552307E-1,2.919726727E0
8.547301667E-1,-7.020401001E-2,2.935695190E0,7.902067566E-1,3.040996806E0
8.647711667E-1,-4.086502075E-2,2.942580872E0,9.032217407E-1,3.078353724E0
8.748121667E-1,-2.844085693E-3,2.836152191E0,7.646099854E-1,2.937413108E0
8.848531667E-1,4.430786133E-2,2.676584015E0,5.281018066E-1,2.728544794E0
8.948941667E-1,7.768844604E-2,2.486179962E0,3.520678711E-1,2.512185918E0
9.049351667E-1,1.335223389E-1,2.270328827E0,1.556762695E-1,2.279573710E0
9.149761667E-1,2.025288391E-1,2.027982788E0,-3.308120728E-2,2.038339149E0
9.250171667E-1,2.826123047E-1,1.733844452E0,-1.767823792E-1,1.765598569E0
9.350581667E-1,3.707789612E-1,1.334175568E0,-3.153941345E-1,1.420202430E0
9.450991667E-1,2.995271301E-1,5.101391602E-1,-4.971162415E-1,7.727114739E-1
9.551401667E-1,-1.577719116E-1,-3.332070923E-1,-8.349636841E-1,9.127339679E-1
