"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.570416593E-4,-6.059399414E-1,3.710034943E0,7.822283478E0,8.678688916E0
1.039804166E-2,-7.026388550E-1,3.809278564E0,7.942333832E0,8.836570106E0
2.044004166E-2,-7.259902954E-1,3.979025574E0,8.047565002E0,9.006831235E0
3.048104166E-2,-7.322772217E-1,4.189637604E0,8.176147614E0,9.216218475E0
4.052304167E-2,-8.006849670E-1,4.408332825E0,8.216413879E0,9.358629801E0
5.056404167E-2,-8.141569519E-1,4.566404114E0,8.246501312E0,9.461484131E0
6.060604166E-2,-8.101153564E-1,4.669090576E0,8.295000458E0,9.553205027E0
7.064704166E-2,-7.673043823E-1,4.731660461E0,8.369395752E0,9.644902902E0
8.068904166E-2,-7.212002563E-1,4.771178284E0,8.470285950E0,9.748334016E0
9.073104167E-2,-6.956034851E-1,4.770729218E0,8.583750000E0,9.845023389E0
1.007720417E-1,-6.444099426E-1,4.736450500E0,8.769663391E0,9.987803738E0
1.108140417E-1,-6.800358582E-1,4.730313263E0,8.896449738E0,1.009876875E1
1.208550417E-1,-7.664062500E-1,4.801714783E0,8.886420593E0,1.012977366E1
1.308970417E-1,-8.177494812E-1,4.847070465E0,8.915909271E0,1.018117107E1
1.409380417E-1,-8.304730225E-1,4.827012177E0,8.891360321E0,1.015115857E1
1.509800417E-1,-8.068222046E-1,4.820276184E0,8.780890045E0,1.004938080E1
1.610220417E-1,-8.273295593E-1,4.823419647E0,8.756490784E0,1.003125028E1
1.710630417E-1,-8.590635681E-1,4.855153656E0,8.813372498E0,1.009881389E1
1.811050417E-1,-8.942404175E-1,4.849315796E0,8.939410400E0,1.020924032E1
1.911460417E-1,-1.005608826E0,4.870870972E0,9.070238342E0,1.034436352E1
2.011880417E-1,-1.273102570E0,5.191504211E0,9.072932739E0,1.053046127E1
2.112290417E-1,-1.665287018E0,5.825735321E0,9.087751923E0,1.092243599E1
2.212710417E-1,-1.805994415E0,6.249803467E0,9.271869049E0,1.132648290E1
2.313130417E-1,-1.532064056E0,6.142925720E0,9.521849213E0,1.143452531E1
2.413540417E-1,-8.487350464E-1,5.609435120E0,9.780211945E0,1.130657593E1
2.513960417E-1,-9.445358276E-2,4.898114319E0,1.003573059E1,1.116764675E1
2.614370417E-1,4.578977966E-1,4.102369080E0,1.023601410E1,1.103698723E1
2.714790417E-1,5.589376831E-1,3.290008392E0,1.055634796E1,1.107127133E1
2.815200417E-1,1.342707825E-1,2.749632111E0,1.095931000E1,1.129977792E1
2.915620417E-1,-5.029541016E-1,2.629581757E0,1.085258194E1,1.117793352E1
3.016040417E-1,-1.222657471E0,2.845133514E0,1.018407211E1,1.064448218E1
3.116450417E-1,-1.793420563E0,3.233725433E0,9.230405273E0,9.943526487E0
3.216870417E-1,-2.269730072E0,3.676804047E0,8.649912415E0,9.669102718E0
3.317280417E-1,-2.505340118E0,4.093387756E0,8.172255707E0,9.477252543E0
3.417700417E-1,-2.368225250E0,4.373605042E0,7.761210480E0,9.218096333E0
3.518110417E-1,-2.095941467E0,4.582869873E0,7.529043274E0,9.059920503E0
3.618530417E-1,-1.718426514E0,4.659211121E0,7.533234558E0,9.022796731E0
3.718950417E-1,-1.156644745E0,4.339326324E0,8.055947571E0,9.223116137E0
3.819360417E-1,-7.920030212E-1,3.759731598E0,8.782835999E0,9.586503985E0
3.919780417E-1,-8.551716614E-1,3.380270691E0,9.493857422E0,1.011389526E1
4.020190417E-1,-1.176403656E0,3.342698822E0,9.896520081E0,1.051183479E1
4.120610417E-1,-1.489851837E0,3.442241821E0,9.966275024E0,1.064872411E1
4.221020417E-1,-1.654060364E0,3.545077972E0,9.790390778E0,1.054301878E1
4.321440417E-1,-1.672771454E0,3.682192841E0,9.380393372E0,1.021511078E1
4.421860417E-1,-1.592987366E0,3.788621521E0,8.847800903E0,9.755759458E0
4.522270417E-1,-1.632804565E0,3.965852966E0,8.333919525E0,9.372740002E0
